Experiment Tracking,,,,,,,,,,Pre-brewing variables,,,,,Brewing variables,,,,Post Brewing variables (Changes made on same brewed coffee),,,,Quantitivate outcomes,,,Aroma outcome,,Taste outcome,,,,,Aftertaste outcome,,,Overall points,,
Experiment num,Roaster,Coffee Name/Farm,Country,Roast,Process,Tasing Notes,Roast date,Brew date,Days off roast,Coffee weight,Ratio,Grind Size,Temperature,Filter Paper,Bloom,Pour 1,Pour 2,Pour 3,Temperature (Hot or warm/cold),Water bypass,Minerals,coffee weight,Drawdown time,TDS,Extraction Yield,Aroma intensity,Aroma Notes,Acidity intensity,Sweetness intensity,Bitterness intensity,Body weight,Flavor Notes,Aftertaste duration,Aftertaste intensity,Aftertaste notes,Overall Score,Overall notes,Points of improvement
4,Curista,Stellar S Venus,Costa Rica,Light,Black honey treatment,"Maraschino Cherry, Red Berries, Stone Fruit, Raisin",,,,15g,1:15 ratio,8 clicks,88 degrees celcius,Cafec TH-1 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,,,,,,,,,,,,,,,,,,,"cleanest, but also means not much complexity flavor",
5,Cata Coffee,Kiamaina,Kenya,Light,Washed,"Apricot Nectar, Lemon Sorbet, Raw Honey",,,,15g,1:15 ratio,8 clicks,90 degrees celcius,Hario Filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,,,,,,,,,,,,,,,,,,,"mellow lemon that is pleasant, but has some under ripe vegetable taste that distracts from the pleasant lemon. adding affinity seems to cause the flavor to dissipate, but catalyst adds a tinge more body to the coffee",
5,Cata Coffee,Kiamaina,Kenya,Light,Washed,"Apricot Nectar, Lemon Sorbet, Raw Honey",,,,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-1 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,,,,,,,,,,,,,,,,,,,"lemon is acidic and strong in a pleasant way. it's the dominant flavor profile, and leaves a lingering sourness that is pleasant since it's aligned with the dominant flavor profile. adding catalyst added a bit more body, but the acidity became unpleasant, affinity made the acidity more pleasant ",
5,Cata Coffee,Kiamaina,Kenya,Light,Washed,"Apricot Nectar, Lemon Sorbet, Raw Honey",,,,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-2 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,,,,,,,,,,,,,,,,,,,"very mellow lemon that is pleasant, some sweetness. the mellow lemon and sweetness does not quite come together well, but independently, they are pleasant. catalyst added a bit more body, and brought more pleasant acidity. affinity made the acidity unpleasant",
5,Cata Coffee,Kiamaina,Kenya,Light,Washed,"Apricot Nectar, Lemon Sorbet, Raw Honey",,,,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-3 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,,,,,,,,,,,,,,,,,,,"mellow lemon acidity, pleasant sweetness as the aftertaste. compared to the row above, it doesn't clash since the flavor comes out at different times. catalyst seems to have brought more of the honey nectar flavor, affinity did not seem to do much",
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Hario Filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Hot,,,,2 min 33 seconds,1.65,24.75,7,Deep cherry,7,5,5,7,"slightly sour cherry, very slight hay-like taste",7,6,slightly sour cherry,,"overall expected, slightly sour, some cherry notes, an overall decent experience",
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec Abaca Filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Hot,,,,2 min 26 seconds,1.61,24.15,6,"sweet, slightly sour cherry",4,3,3,5,"mellow cherry, taste somewhat muted",3,2,barely any aftertaste of cherry,,"tastes muted overall, I can drink it, but not a pleasant cup (strangely, I tested earlier with almost the same variables, except that I heated up the kettle to maintain the 90 degrees after the bloom and it was way better)",
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-1 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Hot,,,,3 min 40 seconds,1.74,26.1,5,sweet cherry,4,4,2,4,mellow slight acidic cherry,7,5,slightly sour cherry,,"pleasant cup overall, tastes like a clean version as compared to the hario filter",
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-2 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Hot,,,,2 min 35 seconds,1.71,25.65,5,sweet cherry,5,4,4,6,"slightly sour cherry, very slight hay-like taste",6,4,very slight sour cherry,,tastes ok overall,
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Hario Filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Cold,,,,,,,,,2,6,3,5,"subtle cherry, tinge of hay like notes",7,3,very subtle cherry,,tastes great! slightly improved when it cooled down,
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec Abaca Filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Cold,,,,,,,,,3,6,4,6,very subtle cherry,7,4,"not much notes, but coffee aftertaste is still pleasant",,tastes great! definitely improved after it cooled down,
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-1 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Cold,,,,,,,,,3,8,5,7,subtle sweet cherry,8,7,"very subtle cherry notes, but great coffee aftertaste",,Favourite cup of the experiment when cold!,
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-2 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Cold,,,,,,,,,2,6,4,7,slight hay-like notes,7,5,hay like aftertaste,,"may be the worst cup, notes are not present, and only the hay like taste lingers",
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Hario Filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Cold,Added ~5 drops of water,,,,~1.31-1.65,,,,3,4,2,5,"subtle cherry, some hay like notes",6,3,hay like aftertaste,,"more balance after water was added, but may have brought out more of the unpleasant hay like notes",
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec Abaca Filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Cold,Added ~5 drops of water,,,,~1.31-1.61,,,,2,7,2,5,decent amount of cherry,5,3,subtle cherry,,"a lot better after adding water, bringing out the cherry flavors",
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-1 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Cold,Added ~5 drops of water,,,,~1.42-1.74,,,,3,8,2,5,"cherry, tinge of hay",8,5,"cherry, tinge of hay",,"a lot better after adding some water, sweetness increased",
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-2 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Cold,Added ~5 drops of water,,,,~1.31-1.71,,,,2,7,4,8,"deep cherry, tinge of hay",6,4,deep cherry,,"the hay seemed to transform into making the cherry into a deeper profile, great cup with seemingly more complexity",
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Hario Filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Cold,,Added 2 drops of catalyst,,,1.31,,,,3,4,2,5,"subtle cherry, some hay like notes",6,3,hay like aftertaste,,No change from previous water add adjustment,
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec Abaca Filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Cold,,Added 2 drops of catalyst,,,1.31,,,,4,4,2,5,sour cherry,5,3,sour cherry,,Adding catalyst created a lot of sourness,
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-1 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Cold,,Added 2 drops of catalyst,,,1.42,,,,3,8,2,5,"cherry, tinge of hay",8,5,"cherry, tinge of hay",,"a lot better after adding some water, sweetness increased",
6,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-2 filter,"Bloom: 45g, 1 min 15 seconds","90g, circular motion","90g, circular motion",,Cold,,Added 2 drops of catalyst,,,1.31,,,,7,3,4,8,Terrible sour cherry,6,4,Terrible sour cherry,,Adding catalyst created a lot of sourness and seemed to make the coffee undrinkable,
7,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-2 filter,"bloom: 45g, 30 seconds","90g, circular motion","90g, circular motion",,Warm,,,,1 min 55 seconds,1.61,,4,slightly sour cherry,5,5,3,6,slight tinge of cherry,7,5,slight tinge of cherry,,"tastes solid, but no clear notes, overall a pleasant, and balanced cup",
7,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-2 filter,"bloom: 45g, 2 min 10 seconds","90g, circular motion","90g, circular motion",,Warm,,,,3 min 30 seconds,1.71,,7,strong deep cherry,6,7,5,8,slight tinge of deep cherry flavour,7,6,slight tinge of deep cherry flavour,,"tastes like a deeper version of the previous cup, with more of both the good and bad, overall solid cup",
7,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-2 filter,"bloom: 45g, 30 seconds","90g, circular motion","90g, circular motion",,Warm,,added 5 drops of water,,,,,,,,,,,,,,,,adding water made it taste somewhat diluted,
7,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-2 filter,"bloom: 45g, 2 min 10 seconds","90g, circular motion","90g, circular motion",,Warm,,added 5 drops of water,,,,,,,,,,,,,,,,adding water provided a bit more balance to the cup,
7,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-2 filter,"bloom: 45g, 30 seconds","90g, circular motion","90g, circular motion",,Warm,,added 5 drops of catalyst,,,,,,,,,,,,,,,,"adding catalyst added slightly more body, improving the taste",
7,Cata Coffee,El Calagual,Guatemala,Light,Natural,"Black Cherry, Plum Jam, Sugercane",19/11/2025,10/01/2026,52,15g,1:15 ratio,8 clicks,90 degrees celcius,Cafec TH-2 filter,"bloom: 45g, 2 min 10 seconds","90g, circular motion","90g, circular motion",,Warm,,added 5 drops of catalyst,,,,,,,,,,,,,,,,"adding catalyst balanced the cup well, creating a deep, somewhat complex cup",
,,,,,,,,,,,,,,,,,,,,,,,,1.51,,4,lemon,5,6,2,5,lemon,5,5,lemon,7,pleasant and acidic lemon with a bit of kick,
,,,,,,,,,,,,,,,,,,,,,,,,1.41,,3,lemon,2,6,3,5,sweet lemon,6,5,sweet lemon,7,Very pleasant cup,
,,,,,,,,,,,,,,,,,,,,,,193g,,1.44,,5,"sweet, rose",2,7,1,6,"black tea, rose",6,7,"black tea, rose",8.5,"great cup with clear rose, sweet",
,,,,,,,,,,,,,,,"bloom: 45g, 1 min 15 seconds",,,,,,,198.7,2 min 12 seconds,1.35,,4,orange?,3,4,3,5,orange,4,4,orange,6,"reasonable, tastes diluted",increase extraction bt increasing agitation/increase ratio
,,,,,,,,,,,,,,,,,,,,,,194.4,,1.46,,5,sweet orange,3,5,3,6,orange,4,5,orange,6.5,"good version of above, but not impressed. adding catalyst significantly improved the cup and transformed orange into grape. great cup, with a score of 8, when it became cool, it strangely had some sourness that was unpleasant",
